"Story","Title","Result","Date","Stability","Duration (s)"
"create account cinemark","As user I want to create my account in cinemark","SUCCESS","2024-01-29T19:11:13.7372668-05:00[America/Bogota]","0.0","14.71"
"create account cinemark","As user I want to realize a purchase in cinemark","SUCCESS","2024-01-29T19:13:03.2088003-05:00[America/Bogota]","0.0","15.97"
